Topic,Key Concepts/Themes
22) everyone has a void - i.e. - a hole - satisfaction is hard to come by don’t feel bad that you feel bad,"Existential Void, Emotional Dissatisfaction, Universal Struggles, Empathetic Understanding, Inner Fulfillment"
23) down with meditation - any form - almost every form is helpful - 5 - talks about forms made up - but goals and processes of different meditation are helpful in their own ways,"Meditation Benefits, Mindfulness Practices, Mental Health, Spiritual Techniques, Inner Peace"
24) gotta git up to git down - concentration can help awareness - shit can be the recipe for success,"Concentration, Awareness Cultivation, Productivity, Mental Discipline, Success Strategies"
25) animal/ vegetable astrology - essences abound in both - learn from the physical characteristics of nature,"Nature Symbolism, Astrological Essence, Physical Characteristics, Spiritual Learning, Environmental Connection"
26) psycho vs. socio path - ones more productive - both are cray,"Personality Disorders, Social Adaptation, Behavioral Extremes, Mental Health, Productivity Contrast"
27) paradox with in - complexity with in is tantamount to paradoxical traits and incongruent behavior is the norm,"Internal Paradox, Behavioral Incongruity, Complexity Acceptance, Human Nature, Psychological Fluidity"
28) heaven -> no need to speculate - jah is I... Live it love it ... Worry after,"Spiritual Presence, Present Focus, Divine Immanence, Speculation Rejection, Earthly Fulfillment"
"29) time - don’t be afraid - watch it pass - measure it with stopwatches, clocks, calendars, timers - be intimate with time","Temporal Awareness, Time Management, Moment Appreciation, Chronometric Discipline, Existential Acceptance"
"30) feminism - gitty up! Update 2-19-19 Feminism is important to me because I see half the population of the world suffering from a patriarchical prejudice that is stunting the growth of civilization. If that’s not enough to be a feminist, I don’t know what is. Prejudice is inherently dumb. Patriarchy is a biased archaic system. Any ways I say gitty up because its little traveled territory for men to have a legit opinion on feminist issues, but if you see something say something, right? Taking the concept of full expression as an example of maximized beauty, we see its extreme importance in all of our lives. Older but mildly edited writing It’s about comfort to express fully - inequality runs deep - share your beautiful life grrrl! Be all you and that’s all you need to be satisfied… But for real tho sex positive feminism…. can’t say enough about it. You see in sexuality there’s a power of agenda (i.e. who sets the agenda is the powerful one). In that sense, feminist sexuality exists wherever women are controlling or have an equal role in the sexual agenda. I would also argue that feminist sexuality exists wherever women are satisfied with the sexual agenda or satisfied with their decision to engage in a sexual act even if they are totally lacking any control of the agenda. Update 2-19-19 – Is there a backlash against sex positivity in 2019? Could it be just a general distaste in men? Or could it be the influence of fascism in the world? Are we subtly acting more fascist towards how we approach sex?","Gender Equality, Patriarchal Critique, Sex Positivity, Social Justice, Empowerment Advocacy"
31) Neech - Jews n Women -> why be such a dumbass Neech? Jews = king of the slaves Women = less than that even in Neech's mind Come on bro. Misogyny n anti-Semitism is so 1880's. Jews as Christians as lame moralists I’m down with tho. Women thing a lot harder to rally behind.,"Nietzsche Prejudice, Anti-Semitism Critique, Misogyny Analysis, Historical Context, Philosophical Reassessment"
"32) Buddha - Good on mental quals - One thing that I will always credit the Buddha with was his capacity to describe mental qualities. Jesus never really got too into the mental real, but the Buddha was all over it. Pliancy and all this listed below: tranquility of body, kaya-passaddhi tranquility of mind, citta-passaddhi lightness of cetasikas, kaya-lahuta Iightness of citta, citta-lahuta pliancy of cetasikas, kaya-muduta pliancy of citta, citta-muduta wieldiness of cetasikas, kaya-kammannata wieldiness of citta, citta-kammannata proficiency of cetasikas, kaya-pagunnata proficiency of citta, citta-pagunnata uprightness of cetasika kaya-ujukata uprightness of citta, citta-ujukata","Mental Mastery, Tranquility, Cognitive Flexibility, Buddhist Psychology, Spiritual Discipline"
"33) Dreams - Live in a dream state - turn it on / off - Sometimes, when things suck its nice to just dream about nicer alternatives. Update -2-19-19 – Ive been sleeping in more. Recording more dreams. Adding more consciousness to my subconscious. No lucid dreaming recently, but lots of good vibes. Good vibes in general can be cultivated, just like consciousness of our dreams. Don’t believe? Im a fucking stoner. Half of believe, that that makes it harder to remember dreams. You can will yourself to remember dreams. You can will yourself to positivity, contentment, a dream-like existence, etc.","Dream Consciousness, Subconscious Exploration, Lucid Dreaming, Positivity Cultivation, Emotional Resilience"
"34) Vocals - Feeling in Frailty- I love to sing with a frail sounding voice - shrill if you will. It adds to the emotional value of the song, also giving it a sense of the place where the emotions come from. Update -2-19-19 – Sense place – ie – more details on the singer’s unique tones + more context to the lyrics in the song","Emotional Expression, Vocal Frailty, Artistic Authenticity, Lyric Context, Sonic Aesthetics"
"35) Dating - The Best: So BIOLOGICAL - • The worst: so distracting from the Higher Self Update -2-19-19 – Biological as in even more than productive psychological even more than symbiotic psychologically. Past psychological what is there? Biological symbiosis. Eating better together. Being more productive together, not because of something the other person says just like on level of existence that isn’t just some sort of everyday assistance. Sort of like the indescribability of love. Helping someone else in its purer forms is indescribably beneficial and beautiful. ","Biological Drive, Romantic Distraction, Higher Self, Symbiotic Relationships, Love Complexity"
"36) Higher - More Productive Healthier Self - The process of creating a symbiosis between productivity and health. There are times when we are living in a very productive want and also maintain great physical and mental health. Many associate this with a stable living situation, but what the idea that variety is the spice of life?","Productivity-Health Synergy, Life Stability, Varied Living, Self-Optimization, Holistic Success"
"37) Conscious Orientation => LUSH (i.e. Love Understanding Satisfaction Health) - We can ask ourselves how can I be healthier in this moment? How can I understand the situation better? How can I be more satisfied right now? More satisfied with things this month? This year? In the next 3 years? How can I love myself, others, the Universe? It’s kinda some hippy shit I know, but let’s be realistic about things. Who doesn’t want a little more love in their life?","LUSH Framework, Self-Inquiry, Holistic Wellbeing, Love Cultivation, Understanding Pursuit"
38) discipline => me =>test,"Self-Discipline, Willpower Testing, Habit Formation, Personal Challenges, Resilience Building"
39) abstain renunciate =>^ -interrelated concepts as abstinence requires discipline and to renunciate something is to demonstrate discipline,"Abstinence Practice, Renunciation, Self-Denial, Spiritual Discipline, Temptation Resistance"
"40) astrology - reverse it/ surrender - astrology doesn’t bind us to certain actions. In reality we can comfortably reverse our astrological preferences for large periods of time, but it’s also nice to surrender to our astrological charts to fully embrace any insights it may bring.","Astrological Flexibility, Surrender Acceptance, Self-Reflection, Cosmic Guidance, Behavioral Adaptation"
"41) concentration => Fux wit it -- we can measure the quality of our concentration, try to improve it with exercises, and generally experiment to understand its nuances.","Focus Training, Cognitive Experimentation, Attention Measurement, Mental Improvement, Task Mastery"
"42) Speak: 1) intelligently 2) colloquially - these two ways of speaking will probably help you more than say speaking eloquently. Speaking colloquially will help you in the work place too as it is the speech of bullies and thieves i.e. your bosses. (this marks a new sheet of ideas that I worked usually called ""The First 42"")","Communication Styles, Intellectual Clarity, Colloquial Adaptation, Social Strategy, Workplace Dynamics"
